Show Title,Directors,Stars
Who Killed Sara?,José Ignacio Valenzuela,"Manolo Cardona, Carolina Miranda, Ginés García Millán"
Bad Trip,Kitao Sakurai,"Eric André, Lil Rel Howery, Tiffany Haddish"
What Lies Below,Braden R. Duemmler,"Ema Horvath, Trey Tucker, Mena Suvari"
Thunder Force,Ben Falcone,"Melissa McCarthy, Octavia Spencer, Jason Bateman"
Dad Stop Embarrassing Me!,"Ken Whittingham, others","Jamie Foxx, Kyla-Drew, David Alan Grier"
Synchronic,"Justin Benson, Aaron Moorhead","Anthony Mackie, Jamie Dornan, Ally Ioannides"
The Baker and the Beauty,"David Frankel, others","Victor Rasuk, Nathalie Kelley, Dan Bucatinsky"
The Circle US,Michelle Buteau (host),"DeLeesa St. Agathe, Courtney Revolution, others"
Shadow and Bone,"Mairzee Almas, others","Jessie Mei Li, Ben Barnes, Archie Renaux"
The Mitchells vs. The Machines,Mike Rianda,"Danny McBride, Abbi Jacobson, Maya Rudolph"
The Sons of Sam,Joshua Zeman,Documentary Series
Jupiter's Legacy,Steven S. DeKnight,"Josh Duhamel, Ben Daniels, Leslie Bibb"
The Upshaws,"Sheldon Epps, others","Mike Epps, Wanda Sykes, Kim Fields"
The Woman in the Window,Joe Wright,"Amy Adams, Gary Oldman, Anthony Mackie"
Army of the Dead,Zack Snyder,"Dave Bautista, Ella Purnell, Omari Hardwick"
